Status,Module,File Time Stamp,Link Time Stamp,File Size,Attr.,Link Checksum,Real Checksum,CPU,Subsystem,Symbols,Preferred Base,Actual Base,Virtual Size,Load Order,File Ver,Product Ver,Image Ver,Linker Ver,OS Ver,Subsystem Ver
?,"MSVCP140.DLL","Error opening file. The system cannot find the file specified (2).",,,,,,,,,,,,,,,,,,
?,"VCRUNTIME140.DLL","Error opening file. The system cannot find the file specified (2).",,,,,,,,,,,,,,,,,,
D?,"API-MS-WIN-APPMODEL-RUNTIME-L1-1-0.DLL","Error opening file. The system cannot find the file specified (2).",,,,,,,,,,,,,,,,,,
D?,"API-MS-WIN-CORE-WINRT-ERROR-L1-1-0.DLL","Error opening file. The system cannot find the file specified (2).",,,,,,,,,,,,,,,,,,
D?,"API-MS-WIN-CORE-WINRT-L1-1-0.DLL","Error opening file. The system cannot find the file specified (2).",,,,,,,,,,,,,,,,,,
D?,"API-MS-WIN-CORE-WINRT-ROBUFFER-L1-1-0.DLL","Error opening file. The system cannot find the file specified (2).",,,,,,,,,,,,,,,,,,
D?,"API-MS-WIN-CORE-WINRT-STRING-L1-1-0.DLL","Error opening file. The system cannot find the file specified (2).",,,,,,,,,,,,,,,,,,
D?,"API-MS-WIN-SHCORE-SCALING-L1-1-1.DLL","Error opening file. The system cannot find the file specified (2).",,,,,,,,,,,,,,,,,,
D?,"DCOMP.DLL","Error opening file. The system cannot find the file specified (2).",,,,,,,,,,,,,,,,,,
D?,"IESHIMS.DLL","Error opening file. The system cannot find the file specified (2).",,,,,,,,,,,,,,,,,,
6,"c:\windows\system32\API-MS-WIN-CORE-TIMEZONE-L1-1-0.DLL",2017-01-18 17:36:12,2017-01-14 08:56:35,11616,A,0x00006B5F,0x00006B5F,x64,Console,"CV,Unknown",0x0000000180000000,Unknown,0x00003000,Not Loaded,10.0.10586.788,10.0.10586.788,10.0,12.10,10.0,10.0
6,"c:\windows\system32\API-MS-WIN-CORE-UTIL-L1-1-0.DLL",2017-07-07 17:29:28,2017-07-07 17:30:29,3072,HA,0x00004975,0x00004975,x64,Console,"CV",0x000007FF26E70000,Unknown,0x00004000,Not Loaded,6.1.7601.23864,6.1.7601.23864,6.1,9.0,6.1,6.1
6,"c:\windows\system32\API-MS-WIN-CRT-HEAP-L1-1-0.DLL",2017-01-18 17:36:12,2017-01-14 09:10:17,12640,A,0x0000A443,0x0000A443,x64,Console,"CV,Unknown",0x0000000180000000,Unknown,0x00003000,Not Loaded,10.0.10586.788,10.0.10586.788,10.0,12.10,10.0,10.0
6,"c:\windows\system32\API-MS-WIN-CRT-RUNTIME-L1-1-0.DLL",2017-01-18 17:36:12,2017-01-14 09:11:30,16224,A,0x0000BF06,0x0000BF06,x64,Console,"CV,Unknown",0x0000000180000000,Unknown,0x00004000,Not Loaded,10.0.10586.788,10.0.10586.788,10.0,12.10,10.0,10.0
6,"c:\windows\system32\API-MS-WIN-CRT-STDIO-L1-1-0.DLL",2017-01-18 17:36:12,2017-01-14 09:08:51,17760,A,0x0001183D,0x0001183D,x64,Console,"CV,Unknown",0x0000000180000000,Unknown,0x00004000,Not Loaded,10.0.10586.788,10.0.10586.788,10.0,12.10,10.0,10.0
6,"c:\windows\system32\API-MS-WIN-CRT-STRING-L1-1-0.DLL",2017-01-18 17:36:12,2017-01-14 09:13:23,17760,A,0x00007512,0x00007512,x64,Console,"CV,Unknown",0x0000000180000000,Unknown,0x00004000,Not Loaded,10.0.10586.788,10.0.10586.788,10.0,12.10,10.0,10.0
6,"c:\windows\system32\API-MS-WIN-SECURITY-BASE-L1-1-0.DLL",2017-07-07 17:29:28,2017-07-07 17:30:31,6144,HA,0x0000B770,0x0000B770,x64,Console,"CV",0x000007FF26E50000,Unknown,0x00004000,Not Loaded,6.1.7601.23864,6.1.7601.23864,6.1,9.0,6.1,6.1
6,"c:\windows\system32\API-MS-WIN-SERVICE-CORE-L1-1-0.DLL",2009-07-14 03:24:53,2009-07-14 03:25:56,2560,HA,0x00005EBE,0x00005EBE,x64,Console,"CV",0x0000000000400000,Unknown,0x00003000,Not Loaded,6.1.7600.16385,6.1.7600.16385,6.1,9.0,6.1,6.1
6,"c:\windows\system32\API-MS-WIN-SERVICE-MANAGEMENT-L1-1-0.DLL",2009-07-14 03:24:53,2009-07-14 03:25:57,2560,HA,0x00002F64,0x00002F64,x64,Console,"CV",0x0000000000400000,Unknown,0x00003000,Not Loaded,6.1.7600.16385,6.1.7600.16385,6.1,9.0,6.1,6.1
6,"c:\windows\system32\API-MS-WIN-SERVICE-MANAGEMENT-L2-1-0.DLL",2009-07-14 03:24:53,2009-07-14 03:25:58,2560,HA,0x00003AFF,0x00003AFF,x64,Console,"CV",0x0000000000400000,Unknown,0x00003000,Not Loaded,6.1.7600.16385,6.1.7600.16385,6.1,9.0,6.1,6.1
6,"c:\windows\system32\API-MS-WIN-SERVICE-WINSVC-L1-1-0.DLL",2009-07-14 03:24:53,2009-07-14 03:25:59,3584,HA,0x00005895,0x00005895,x64,Console,"CV",0x0000000000400000,Unknown,0x00003000,Not Loaded,6.1.7600.16385,6.1.7600.16385,6.1,9.0,6.1,6.1
6,"c:\windows\system32\GDI32.DLL",2017-05-12 20:22:32,2017-05-12 20:22:36,405504,A,0x00071C4B,0x00071C4B,x64,Console,"CV",0x000007FF7FD70000,Unknown,0x00067000,Not Loaded,6.1.7601.23807,6.1.7601.23807,6.1,9.0,6.1,6.1
6,"c:\windows\system32\KERNEL32.DLL",2017-07-07 17:29:33,2017-07-07 17:32:23,1163264,A,0x00122D97,0x00122D97,x64,Console,"CV",0x0000000078D20000,Unknown,0x0011F000,Not Loaded,6.1.7601.23864,6.1.7601.23864,6.1,9.0,6.1,6.1
